2026 OFF-SEASON RANKINGS,,,,*** VALUE SCALES WITHIN TIERS ***,LEGEND
125,Jalen Coker,WR,CAR,,
126,Xavier Worthy,WR,KC,,
127,Terry McLaurin,WR,WAS,,
128,Chris Godwin,WR,TB,,
129,Courtland Sutton,WR,DEN,,
130,Jacory Croskey-Merritt,RB,WAS,,
131,Kyle Monangai,RB,CHI,,
132,Rashid Shaheed,WR,SEA,,
133,Chuba Hubbard,RB,CAR,,
134,JK Dobbins,RB,DEN,,
135,Jakobi Meyers,WR,JAX,,
136,2026 ROOKIE 2.06,,,,
137,Jaylen Warren,RB,PIT,,
138,Romeo Doubs,WR,NE,,
139,Rico Dowdle,RB,CAR,,
140,2026 ROOKIE 2.07,,,,
141,J.J. McCarthy,QB,MIN,,
142,Michael Penix Jr.,QB,ATL,,
143,Brenton Strange,TE,JAX,,
144,Jake Ferguson,TE,DAL,,
145,2026 ROOKIE 2.08,,,,
146,Tua Tagovailoa,QB,MIA,Up 1 Tier,
147,Isaiah Likely,TE,NYG,Up 1 Tier,
148,Terrance Ferguson,TE,LAR,,
149,Khalil Shakir,WR,BUF,,
150,2026 ROOKIE 2.09,,,,
151,2026 ROOKIE 2.10,,,,
"VALUE = ""EARLY"" 3 (+/-)",,,,,
152,Tyler Allgeier,RB,AZ,,
153,Jauan Jennings,WR,,Down 1 Tier,
154,Brandon Aiyuk,WR,,Down 1 Tier,
155,Zach Charbonnet,RB,SEA,Up 1 Tier,
156,Stefon Diggs,WR,,Down 1 Tier,
157,2026 ROOKIE 2.11,,,,
158,Geno Smith,QB,NYJ,,
159,Jonathon Brooks,RB,CAR,Up 1 Tier,
160,Aaron Rodgers,QB,,,
161,Juwan Johnson,TE,NO,,
162,Dallas Goedert,TE,,,
163,Pat Bryant,WR,DEN,,
164,2026 ROOKIE 2.12,,,,
165,Chig Okonkwo,TE,WAS,,
166,Deebo Samuel,WR,WAS,,
167,Tre Harris,WR,LAC,,
168,Blake Corum,RB,LAR,,
169,Rachaad White,RB,WAS,,
170,2026 ROOKIE 3.01,,,,
171,Tony Pollard,RB,TEN,,
172,Tyjae Spears,RB,TEN,,
173,2026 ROOKIE 3.02,,,,
174,Adonai Mitchell,WR,NYJ,,
175,Mac Jones,QB,SF,,
176,Dylan Sampson,RB,CLE,,
177,TJ Hockenson,TE,MIN,,
178,,,,,
"VALUE = ""BASE"" 3 (+/-)",,,,,
179,Jordan Mason,RB,MIN,,
180,Aaron Jones,RB,MIN,,
181,2026 ROOKIE 3.04,,,,
182,Tyreek Hill,WR,MIA,Down 1 Tier,
183,Kenneth Gainwell ,RB,TB,,
184,Tyrone Tracy Jr. ,RB,NYG,,
186,2026 ROOKIE 3.05,,,,
187,Chris Rodriguez Jr.,RB,JAX,,
188,Jerry Jeudy,WR,CLE,,
189,2026 ROOKIE 3.06,,,,
190,Sean Tucker,RB,TB,,
191,Keaton Mitchell,RB,LAC,,
192,Woody Marks,RB,HOU,Down 2 Tiers,
193,2026 ROOKIE 3.07,,,,
194,Kayshon Boutte,WR,NE,Down 1 Tier,
195,Troy Franklin,WR,DEN,,
196,2026 ROOKIE 3.08,,,,
197,Mason Taylor,TE,NYJ,,
198,David Njoku,TE,,,
199,Jalen Milroe,QB,SEA,,
200,Shedeur Sanders,QB,CLE,,
201,Deshaun Watson,QB,CLE,,
202,Anthony Richardson,QB,IND,,
203,Kirk Cousins,QB,,,
204,2026 ROOKIE 3.09,,,,
205,Gunnar Helm,TE,TEN,,
206,Jalen McMillan,WR,TB,,
207,Emmanuel Wilson,RB,SEA,,
208,2026 ROOKIE 3.10,,,,
209,Trey Benson,RB,AZ,Down 1 Tier,
210,Devin Neal,RB,NO,Down 1 Tier,
211,Jaylin Noel,WR,HOU,,
212,Ray Davis,RB,BUF,,
213,Braelon Allen,RB,NYJ,,
214,Isaiah Davis,RB,NYJ,,
215,Ollie Gordon,RB,MIA,,
216,2026 ROOKIE 3.11,,,,
217,James Conner,RB,AZ,,
218,Isiah Pacheco,RB,DET,,
219,Dontayvion Wicks,WR,GB,,
220,Tory Horton ,WR,SEA,Down 1 Tier,
221,2026 ROOKIE 3.12,,,,
222,Cade Otton,TE,TB,,
223,George Holani,RB,SEA,,
224,Jaquez Hunter,RB,LAR,,
225,Kimani Vidal,RB,LAC,,
